"short_name","name","detail"
"2-13c","Compression","Added boat, Increased budget."
"2-14c","Dip n' Draw","Only 1 Hydraulic and a larger boat."
"2-15c","Weight Distribution","No rock or balloon and only one static joint."
"2-16c","Stow Away","No rock on right."
"3-1c","Loop Hole","Additional plane."
"3-2c","Big Dipper","Checkpoint moved left."
"3-3c","String Theory","Only 8 Wood and fewer static joints."
"3-4c","Doubling Down","Additional boats."
"3-5c","Semi Slope","No Steel or Cable."
"3-6c","Rock Skipping","No static joints on rocks, fewer Road."
"3-7c","Support Cable","Added checkpoint."
"3-8c","Crossed Paths","No Hydraulics."
"3-9c","Wibbly Wobbly","Only 2 Springs."
"3-10c","Shafted","Extra fire truck."
"3-11c","Cross Jump","Only one platform in the middle."
"3-12c","Emergency Interference","Additional boats and plane."
"3-13c","Diagonal Elevator","Only one hydraulic."
"3-14c","Low Flyer","No static joints."
"3-15c","Looper's Revenge","Another car goes backwards."
"3-16c","Monster Truck Rally","No Steel & 3 monster trucks."
"4-1c","Edgy","Extra boat and only 2 Hydraulics."
"4-2c","Collision Warning","2 more dune buggies."
"4-3c","Sloped Drawbridge","Second Hydraulic phase is removed."
"4-4c","Trap Door","Return cars to start."
"4-5c","Triple Decker Drawbridge","Only 1 Hydraulic."
"4-6c","Safety Gap","Planes added, limited road, and no Springs."
"4-7c","Big Spender","2 Meters longer with same budget."
"4-8c","Thread the Needle","No Springs."
"4-9c","Tipping Tower","Return school bus to start."
"4-10c","Drawbridge In Disguise","Extra car, only 1 Hydraulic, and no hydraulic controller."
"4-11c","Lean on Me","Removed rock in the middle, Increased budget."
"4-12c","Trailblazer","No Springs."
"4-13c","Diagonal Drawbridge","No Hydraulics and budget limited to 60K."
"4-14c","Big Rigs","No Steel."
"4-15c","Twists and Turns","Only 1 Hydraulic."
"4-16c","Don't Leave Me","Only 1 Hydraulic, extra Hydraulic Phase."
"5-1c","Brake Pad","Stopping area is sloped"
"5-2c","Sorting","Added Plane"
"5-3c","Springboard","Checkpoint and Flag are higher"
"5-4c","Leverage","Added second Plane"
"5-5c","Truck Way In","Larger gap"
"5-6c","Spring and a Miss","Swapped Vans and City Cars"
"5-7c","Trading Places","Sports Cars are slower"
"5-8c","Passing By","Added City Car"
"5-9c","Falling Into Place","Vehicle order is reversed"
"5-10c","In Suspense","Shorter pillars"
"5-11c","All Together Now","Platforms are sloped"
"5-12c","Gettin' Loopy","Changed Checkpoint positions"
"5-13c","Crash Course","A1 Flag moved below platform"
"5-14c","Bus Routes","Added Van"
"5-15c","Acceleration","Added centred static joint and a Checkpoint to Dune Buggy A1"
"5-16c","Double Duty","Added Vespa"
